district_name_norm,state_ut_norm,specialty_canonical,demand_score,pop_weighted_demand,driving_needs,n_facilities,n_public,supply_capacity,coverage,unmet_demand,k_specialty,served_share,is_thin_specialty,score_basis,priority_tier,specialty_absent,unmet_intensity
Lawngtlai,Mizoram,obstetrics_gynecology,30.0,10.799,anaemia|antenatal_care|institutional_delivery|adolescent_pregnancy|postnatal_care|family_planning_unmet|skilled_birth_attendance|menstrual_hygiene,0,0,null,0.0,10.799,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Reasi,Jammu & Kashmir,pediatrics,23.0,10.799,child_malnutrition|infant_young_child_feeding|child_immunization|anaemia,0,0,null,0.0,10.799,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
East Kameng,Arunachal Pradesh,preventive_medicine,33.0,16.464,micronutrient_fortification|tobacco_use|cancer_screening|wash_sanitation|birth_registration|clean_cooking_air|child_immunization,1,1,3.0,0.3453595724003888,10.777999999999997,0.17587055926837847,0.32153,false,demand_supply,critical,false,16.464
Medak,Telangana,preventive_medicine,22.0,10.762,child_immunization|tobacco_use|micronutrient_fortification|cancer_screening|birth_registration,0,0,null,0.0,10.762,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Kanpur Dehat,Uttar Pradesh,nutrition_dietetics,23.0,10.761000000000001,infant_young_child_feeding|maternal_nutrition|child_malnutrition|adult_overnutrition_obesity|micronutrient_fortification,0,0,null,0.0,10.761000000000001,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Shahdara,NCT of Delhi,nutrition_dietetics,23.0,10.756,maternal_nutrition|child_malnutrition|adult_overnutrition_obesity|infant_young_child_feeding|micronutrient_fortification,0,0,null,0.0,10.756,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Munger,Bihar,nutrition_dietetics,23.0,10.755,infant_young_child_feeding|micronutrient_fortification|maternal_nutrition|adult_overnutrition_obesity|child_malnutrition,0,0,null,0.0,10.755,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Chamoli,Uttarakhand,pediatrics,24.0,10.746,child_illness_care|anaemia|child_malnutrition|child_immunization|infant_young_child_feeding,0,0,null,0.0,10.746,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Jayashankar Bhupalapally,Telangana,pediatrics,23.0,10.722000000000001,child_malnutrition|child_immunization|child_illness_care|anaemia|infant_young_child_feeding,0,0,null,0.0,10.722000000000001,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Lohardaga,Jharkhand,pediatrics,21.0,10.72,anaemia|child_immunization|child_malnutrition|infant_young_child_feeding,0,0,null,0.0,10.72,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Kheri,Uttar Pradesh,obstetrics_gynecology,27.0,10.719,maternal_nutrition|family_planning_unmet|institutional_delivery|antenatal_care|skilled_birth_attendance|postnatal_care|menstrual_hygiene|anaemia,0,0,null,0.0,10.719,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Cachar,Assam,nutrition_dietetics,23.0,10.716999999999999,adult_overnutrition_obesity|infant_young_child_feeding|child_malnutrition|micronutrient_fortification|maternal_nutrition,0,0,null,0.0,10.716999999999999,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Munger,Bihar,pediatrics,32.0,14.712,anaemia|infant_young_child_feeding|child_illness_care|child_immunization|child_malnutrition,1,0,3.0,0.2718885940615843,10.711975004165971,0.24999843777013556,0.6034,false,demand_supply,critical,false,14.712
Chitrakoot,Uttar Pradesh,obstetrics_gynecology,28.0,10.709999999999999,menstrual_hygiene|skilled_birth_attendance|antenatal_care|maternal_nutrition|institutional_delivery|anaemia|postnatal_care|family_planning_unmet,0,0,null,0.0,10.709999999999999,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Bhadrak,Odisha,preventive_medicine,21.0,10.696,cancer_screening|birth_registration|wash_sanitation|micronutrient_fortification|tobacco_use|child_immunization|clean_cooking_air,0,0,null,0.0,10.696,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
West Siang,Arunachal Pradesh,pediatrics,28.0,10.693,anaemia|infant_young_child_feeding|child_illness_care|child_malnutrition|child_immunization,0,0,null,0.0,10.693,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
